unit,sex,geo,OBS_VALUE
Rate,Females,Austria,6.35
Rate,Females,Belgium,9.37
Rate,Females,Bulgaria,2.19
Rate,Females,Switzerland,5.85
Rate,Females,Cyprus,2.34
Rate,Females,Czechia,4.94
Rate,Females,Germany,5.47
Rate,Females,Denmark,4.53
Rate,Females,Estonia,6.32
Rate,Females,Greece,1.6
Rate,Females,Spain,4.21
Rate,Females,European Union - 27 countries (from 2020),4.77
Rate,Females,Finland,6.63
Rate,Females,France,6.37
Rate,Females,Croatia,6.03
Rate,Females,Hungary,7.3
Rate,Females,Ireland,3.54
Rate,Females,Iceland,6.05
Rate,Females,Italy,2.47
Rate,Females,Lithuania,6.15
Rate,Females,Luxembourg,4.08
Rate,Females,Latvia,3.37
Rate,Females,Malta,1.5
Rate,Females,Netherlands,6.6
Rate,Females,Norway,6.61
Rate,Females,Poland,3.52
Rate,Females,Portugal,3.99
Rate,Females,Romania,2.64
Rate,Females,Serbia,4.77
Rate,Females,Sweden,7.07
Rate,Females,Slovenia,7.15
Rate,Females,Slovakia,2.34
Rate,Females,Türkiye,2.44
Rate,Males,Austria,22.49
Rate,Males,Belgium,22.04
Rate,Males,Bulgaria,11.7
Rate,Males,Switzerland,16.42
Rate,Males,Cyprus,5.96
Rate,Males,Czechia,20.98
Rate,Males,Germany,17.88
Rate,Males,Denmark,15.39
Rate,Males,Estonia,25.65
Rate,Males,Greece,7.86
Rate,Males,Spain,12.9
Rate,Males,European Union - 27 countries (from 2020),17.22
Rate,Males,Finland,20.43
Rate,Males,France,22.08
Rate,Males,Croatia,23.55
Rate,Males,Hungary,28.83
Rate,Males,Ireland,14.14
Rate,Males,Iceland,14.01
Rate,Males,Italy,9.81
Rate,Males,Lithuania,33.93
Rate,Males,Luxembourg,12.34
Rate,Males,Latvia,23.41
Rate,Males,Malta,9.14
Rate,Males,Netherlands,15.23
Rate,Males,Norway,16.55
Rate,Males,Poland,21.48
Rate,Males,Portugal,14.73
Rate,Males,Romania,16.26
Rate,Males,Serbia,18.61
Rate,Males,Sweden,18.04
Rate,Males,Slovenia,30.52
Rate,Males,Slovakia,13.48
Rate,Males,Türkiye,8.05
Rate,Total,Austria,13.7
Rate,Total,Belgium,15.4
Rate,Total,Bulgaria,6.35
Rate,Total,Switzerland,10.8
Rate,Total,Cyprus,4.12
Rate,Total,Czechia,12.29
Rate,Total,Germany,11.21
Rate,Total,Denmark,9.76
Rate,Total,Estonia,14.48
Rate,Total,Greece,4.56
Rate,Total,Spain,8.27
Rate,Total,European Union - 27 countries (from 2020),10.58
Rate,Total,Finland,13.37
Rate,Total,France,13.58
Rate,Total,Croatia,13.71
Rate,Total,Hungary,16.67
Rate,Total,Ireland,8.75
Rate,Total,Iceland,10.18
Rate,Total,Italy,5.93
Rate,Total,Lithuania,18.19
Rate,Total,Luxembourg,8.13
Rate,Total,Latvia,12.09
Rate,Total,Malta,5.21
Rate,Total,Netherlands,10.78
Rate,Total,Norway,11.48
Rate,Total,Poland,12.03
Rate,Total,Portugal,8.83
Rate,Total,Romania,8.93
Rate,Total,Serbia,11.11
Rate,Total,Sweden,12.47
Rate,Total,Slovenia,18.29
Rate,Total,Slovakia,7.42
Rate,Total,Türkiye,5.12
